10 5
0.017
0.017e-1
0.017e-2
0.017e-4
0.
12
13
15
18
20
22
25
30
35
40
0.63998E-05   0.51515E-02   0.44063E-04 
0.91596E-05   0.16671E-01   0.34557E-04
0.15682E-04   0.14309E-01   0.24736E-04
0.80335E-05   0.50661E-02   0.19551E-04
0.50232E-05   0.76050E-02   0.17556E-04
0.88940E-05   0.12558E-01   0.60156E-04
0.54468E-05   0.15419E-01   0.73260E-04
0.14909E-04   0.16450E-01   0.34711E-04
0.11873E-04   0.76986E-02   0.23940E-04
0.94401E-05   0.16368E-01   0.39900E-04
0.12090E-04   0.95039E-02   0.73589E-04
0.45418E-05   0.14448E-01   0.43069E-04
0.12816E-04   0.12718E-01   0.34844E-04
0.16633E-04   0.47385E-02   0.11970E-04
0.61783E-05   0.11934E-01   0.30058E-04
0.13313E-04   0.50579E-02   0.68535E-04
0.26095E-05   0.84103E-02   0.37350E-04
0.51969E-05   0.82249E-02   0.31519E-04
0.40950E-05   0.98046E-02   0.33649E-04
0.00000E+00   0.00000E+00   0.00000E+00
0.32356E-04   0.59003E-02   0.86224E-04
0.25929E-05   0.68074E-02   0.40675E-04
0.27316E-06   0.40597E-02   0.28061E-04
0.78552E-06   0.49959E-02   0.30191E-04
0.00000E+00   0.00000E+00   0.00000E+00
0.37419E-04   0.11236E-01   0.96465E-04
0.29258E-05   0.62809E-02   0.40675E-04
0.14997E-05   0.49606E-02   0.27529E-04
0.36377E-05   0.61542E-02   0.24605E-04
0.42177E-05   0.81432E-02   0.34181E-04
0.48465E-04   0.66959E-02   0.82633E-04
0.61586E-05   0.89836E-02   0.34424E-04
0.42951E-05   0.82132E-02   0.24869E-04
0.58140E-05   0.89037E-02   0.25403E-04
0.49425E-05   0.12542E-01   0.00000E+00
0.67628E-04   0.16898E-01   0.80505E-04
0.67391E-05   0.66904E-02   0.20991E-04
0.67254E-05   0.64699E-02   0.18884E-04
0.10052E-04   0.75699E-02   0.16492E-04
0.19512E-04   0.11384E-01   0.24605E-04
0.74128E-04   0.86931E-03   0.11345E-04
0.41269E-05   0.44811E-04   0.24339E-06
0.16957E-05   0.56626E-02   0.19815E-04
0.00000E+00   0.00000E+00   0.00000E-20
0.00000E+00   0.00000E+00   0.00000E-20
0.73306E-04   0.85761E-03   0.11212E-04
0.40521E-05   0.44811E-04   0.11039E-06
0.49878E-06   0.00000E+00   0.22610E-08
0.00000E+00   0.00000E+00   0.00000E-20
0.00000E+00   0.00000E+00   0.00000E-20
 
 
 
 
 
 
 
 
 
